COSCAT,O2.surf (mol/m3),O2.bottom (mol/m3),Depth (m),NPP (mol C/[m2 y]),Temp (¼C),Sal,NPP.area (m2)
1,0.233769474,0.192982057,87.58353852,29.24052437,18.6724,36.8332,16160579530
2,0.224519694,0.225890559,56.9443191,169.3771837,20.5528,37.7768,15021430194
3,0.219544945,0.226034055,49.49304004,221.2630497,21.4632,38.7996,5787665500
4,0.195438306,0.056103952,43.8815199,178.1250027,28.6149,37.9884,37294050294
5,0.198561773,0.036377144,44.83985765,137.3202439,28.208,36.3138,6273088679
6,0.205742589,0.0589782,55.68285976,124.5761625,26.3591,35.3937,21094090014
7,0.203323489,0.06084244,25.90460526,64.12294011,27.1976,35.0251,10165502646
8,0.202622535,0.15954325,29.64217658,121.1904129,27.477,34.8209,17443252528
9,0.207387214,0.142283604,50.19505852,81.07189903,26.0453,34.9127,17775377017
10,0.207081288,0.153612626,29.56134774,131.6220486,26.0815,35.0666,12571930937
11,0.206958381,0.176985424,30.16317785,126.9433786,26.1949,34.8354,27324811234
12,0.228097726,0.201581309,121.2613784,69.24861892,20.4828,35.3053,63736694423
13,0.249149682,0.158930054,247.9927185,97.49081539,15.9034,35.1311,1.48998E+11
14,0.217750802,0.230369656,63.69661267,237.1395146,23.5009,34.0019,32236173662
15,0.208334875,0.231318657,39.28878692,280.7985742,27.3834,30.1271,12459698641
16,0.204634039,0.218441819,47.18769749,196.5347484,27.7526,32.2414,18572423268
17,0.205321104,0.157076846,58.98449377,133.3025901,26.7023,34.7434,12669688723
18,0.204067448,0.13805845,46.11872146,133.291867,27.3599,33.8951,41982528548
19,0.211767932,0.177096228,34.56057007,203.2620141,24.7385,35.1291,50072425217
20,0.232836969,0.135094925,46.57406327,180.6301511,19.067,36.2605,37508685095
21,0.233340012,0.204271956,83.87799564,87.45906855,18.9276,36.3368,21145149705
401,0.262117115,0.260437272,91.83545625,49.51851127,13.4135,35.0826,1.34019E+11
402,0.281324207,0.270264344,126.383462,45.87508404,10.1465,34.9169,2.87548E+11
403,0.287040987,0.275655061,61.33477439,76.18499606,9.85027,32.7778,2.49629E+11
404,0.352215422,0.132468412,55.39227692,117.322925,8.09916,7.11856,1.43326E+11
405,0.378305912,0.334648759,51.57221037,137.3793372,5.67277,5.32897,63031616523
406,0.367502803,0.349030181,34.64513959,233.473723,6.84582,5.27884,18771170710
407,0.314001974,0.299888611,98.74452555,48.49403614,5.60957,33.9946,91320617108
408,0.352078596,0.330662943,103.6280687,76.08105705,1.18567,33.3436,2.51158E+11
409,0.372785289,0.316059689,128.5022924,45.81662138,-1.05658,33.6601,34762682827
411,0.309397236,0,11.48465233,260.0269278,12.583,11.2428,25936066642
412,0.289939126,0.243600254,56.46828419,168.6851793,13.8961,17.1202,29237176411
413,0.288088021,0,82.4829932,53.27346416,14.4886,16.1153,7208727273
414,0.231531403,0.225741749,72.68847795,95.4224035,18.8282,37.9574,11944574650
415,0.228652189,0.182360912,92.68060837,27.47768255,19.4566,38.0947,19998083083
416,0.237470857,0.238768425,87.6216968,75.49746242,17.6276,37.5206,38982304388
417,0.218231031,0.179837074,68.46140132,37.74872603,22.4669,36.7666,24403376101
418,0.235355355,0.238351291,82.43297319,39.46788042,18.0777,37.5828,38502911622
419,0.246003961,0.212596051,106.456044,59.68393997,16.3542,35.7594,20367264372
501,0.382914,0.307468074,195.599393,981.5257205,-1.36032,30.9653,947862369.6
502,0.37668987,0.312990005,225.0671207,32.73799253,-1.04371,32.0956,1.32909E+11
503,0.340150571,0.296558642,273.0446534,19.23080318,2.50314,33.4509,1.03235E+11
504,0.350299229,0.308234948,130.912254,27.76814769,1.5119,32.8454,48490485459
505,0.361404865,0.25859246,237.802868,26.99786731,0.495169,32.1486,1.34671E+11
801,0.206322553,0.073260431,57.51947274,119.4021839,27.5555,31.3523,17067412072
802,0.201297054,0.11349365,104.457098,122.0953235,28.3512,33.4348,48480838435
803,0.199879369,0.04642511,34.77344573,149.0117048,28.5818,34.0336,4198735889
804,0.206428944,0.056029815,56.41936917,134.9415317,26.3912,34.7078,9596054711
805,0.219712751,0.100002678,66.00566572,169.835185,22.5926,35.2155,31864702769
806,0.236776702,0.020434462,80.19697503,88.12548439,18.9095,33.9363,25582205735
807,0.259919917,0.046512958,76.26818021,103.1045271,14.3386,33.3619,12482399507
808,0.277384014,0.06253527,111.8201998,88.13467438,11.8353,31.3361,18803478245
809,0.290823693,0.104589899,124.516696,95.77399731,9.91285,30.4983,46657602269
810,0.303796191,0.138593936,126.5298066,51.39884607,7.79269,31.1906,1.14238E+11
811,0.312141969,0.189009818,131.862069,33.002914,6.44332,31.8725,91215667215
812,0.329068394,0.292368904,71.60037003,44.99326613,4.30624,31.6735,2.40789E+11
813,0.343057507,0.338360177,27.3784137,98.3484272,3.00179,30.2972,59296295947
814,0.364740152,0.313351759,41.66026921,59.3011666,0.629954,30.2763,95823137032
815,0.380771882,0.336283128,42.24132956,70.08094092,0.0917169,26.061,72287359094
816,0.384186719,0.275368337,183.8314147,56.08706833,-0.883543,28.5992,1.9345E+11
817,0.349716038,0.271968072,111.5962777,22.60156208,2.59303,28.9732,3.09321E+11
818,0.357840004,0.341717076,34.31570448,88.72019656,2.86409,24.5092,42290660926
819,0.350064116,0.271674515,106.3129003,33.04157764,2.60156,28.7923,1.34338E+11
820,0.36787525,0.343252834,80.81713531,19.92450373,0.164842,30.8251,1.28296E+11
821,0.36280151,0.306008016,171.0205701,24.69096885,0.474189,31.663,1.11431E+11
822,0.363802418,0.318547173,54.67306982,31.45129804,0.395,31.565,12974270802
823,0.36838163,0.229231515,-5.832604258,30.88711689,-0.074217,31.5541,14226509074
824,0.355819484,0.306686953,55.01471587,68.86960413,1.26585,31.4747,14587043294
825,0.321358753,0.230930062,61.5885505,69.79164078,5.7335,30.0068,73043564858
826,0.315739482,0.304204382,84.25984752,18.78309779,5.86246,32.23,1.68502E+11
827,0.284138808,0.235031549,65.99893685,70.34712442,10.7006,31.4233,1.75646E+11
828,0.209641258,0.19505464,23.00193361,144.436005,25.0802,35.8787,91996483437
830,0.200577829,0.187247986,28.97998093,69.48466855,27.7866,35.7296,49251069255
831,0.200141142,0.200288596,25.17800021,141.2429027,27.8339,35.9821,30141299208
832,0.204622628,0.194242569,45.15991924,123.8183874,26.3953,36.2552,59295608005
833,0.213388635,0.182211297,52.66265203,137.3218395,24.3457,34.9743,35017540999
834,0.216313623,0.187690711,34.99371813,245.4364184,24.0947,33.3539,79231669229
1101,0.202158686,0.196481961,46.18937644,158.1429905,27.6164,34.8218,10742339573
1102,0.205260663,0.17176107,77.75099018,447.0885648,26.7032,34.7931,28513034321
1103,0.204018218,0.186064738,41.53664048,278.3079987,27.4609,33.6407,37649548033
1104,0.211228265,0.197853857,44.27994159,379.7998521,27.7812,26.4725,1.06139E+11
1105,0.201618989,0.20059506,29.12621359,111.8298593,27.3514,36.0769,49739377159
1106,0.202985838,0.212124297,32.42074928,88.57668974,26.7024,36.7774,31777894706
1107,0.221738876,0.214954331,90.18668888,78.78951859,22.4839,33.9641,1.08874E+11
1108,0.251616977,0.240579116,50.31783205,127.9856216,17.0035,29.918,73748145033
1109,0.265870628,0.262559429,73.3813884,56.46136881,13.1971,33.5139,1.83164E+11
1110,0.292178946,0.280636013,124.9965402,31.84574101,8.8533,33.4918,4.67809E+11
1111,0.292296529,0.234680514,143.9739414,60.64885376,9.30159,31.8509,76856278810
1112,0.266134455,0.165493569,137.1410132,69.17910153,13.3127,32.9651,17880166113
1113,0.237557006,0.111942037,101.3071895,108.4469821,18.4405,34.8733,10938294724
1114,0.235058719,0.062465912,148.1974487,129.5869878,18.9418,35.0582,49124665743
1115,0.224833754,0.090562817,51.24716553,157.0614816,21.7509,33.835,9443853660
1116,0.209069505,0.077226327,56.81084571,146.4777205,26.5999,31.8309,11259627590
1301,0.216554751,0.182751695,59.28365583,222.2214789,22.175,38.9833,7156560222
1303,0.279344999,0.284217781,74.05614714,63.42128346,15.3845,18.0816,12701478595
1307,0.379688795,0.325230781,106.5019614,114.9845674,-0.207264,27.6524,1.6882E+11
1308,0.384761298,0.328840729,102.1945034,282.1821741,-1.05199,29.0477,89597560024
1309,0.398734906,0.319818091,36.94779116,180.6902566,-0.63995,22.2205,65976494446
1310,0.40469771,0.302240325,30.98682096,129.0569997,-0.417513,19.1672,1.3831E+11
1311,0.394495162,0.315801325,62.32930366,140.6709014,-0.898519,24.8068,2.30103E+11
1313,0.375192809,0.290214904,106.0882161,41.59312254,-0.426326,30.2521,1.96649E+11
1314,0.342843968,0.289974762,87.313718,44.7359571,2.58443,31.9673,1.88174E+11
1315,0.332033747,0.201263099,92.14692844,47.57153075,3.76051,32.3517,57346818907
1316,0.328124174,0.118776063,155.6229585,26.27768994,4.20516,32.4828,26952925713
1317,0.334406828,0.175148205,250.6563707,46.32508798,3.40196,32.621,3.00001E+11
1318,0.334038353,0.219918088,129.2292331,62.78160701,3.76347,31.4347,1.41395E+11
1319,0.323961681,0.202352203,133.422909,46.82353701,4.83336,32.0905,82023159143
1320,0.292591241,0.276233868,108.6095476,43.29980859,8.85671,33.2595,49624627675
1321,0.257100989,0.233767732,167.930481,36.53003419,14.8036,33.596,1.02989E+11
1322,0.273426007,0.15304369,168.8906998,47.25255593,11.8911,33.4403,50075140558
1323,0.2140133,0.142260559,59.6348561,214.1530406,24.5226,33.9302,26029318140
1324,0.248362185,0.227427702,149.099463,80.37031697,16.8484,32.5798,2.04552E+11
1325,0.270111254,0.297026913,20.42778178,150.0105292,13.4633,30.0624,54957547614
1326,0.235916615,0.22602289,64.57377107,123.843135,19.5221,32.6095,2.46183E+11
1327,0.210559256,0.164925838,97.44931328,119.6317173,25.6368,33.4467,1.86161E+11
1328,0.20116592,0.159072031,56.38179325,153.1641006,28.5818,32.877,1.29863E+11
1329,0.20193833,0.174554348,49.64902721,161.2860954,28.4728,32.5058,2.383E+11
1330,0.201081374,0.175640994,40.0588648,140.2393026,28.6616,32.7192,2.05408E+11
1331,0.200295033,0.124939996,52.42665204,119.2464998,28.5343,33.7979,65827593430
1332,0.199793831,0.101837129,109.7306015,55.64140204,28.693,33.7862,85222311160
1333,0.199884703,0.10679115,74.80314961,73.87035817,28.5027,34.2597,1369391305
1334,0.200021978,0.085498215,54.27008835,92.04678706,28.7607,33.3826,55179593260
1335,0.20195323,0.08042669,55.81174366,211.5687353,28.7951,31.5473,1.12178E+11
1336,0.207055508,0.128112446,65.82027094,187.3762581,27.9758,29.4717,42850297913
1337,0.205023912,0.166535644,40.43911728,178.3889083,28.1244,30.8028,38941498483
1338,0.200679877,0.076149997,44.85828063,162.8768677,28.2927,34.1585,42224136922
1339,0.200374229,0.053376192,59.45165945,161.3690529,27.9212,35.5183,71786647028
1340,0.204345037,0.052673407,56.51964329,131.4937565,26.4777,36.2531,48234972542
1341,0.201986427,0.146845368,49.2398457,186.5478136,27.0178,36.73,25699313410
1342,0.201263687,0.173109654,35.64985826,112.0805663,26.3315,39.3791,1.5315E+11
1344,0.195707401,0.143374092,41.15684093,116.4799735,28.4125,38.3256,38594653271
1401,0.197559556,0.107502734,77.12565839,92.59574341,29.2981,34.0576,20655477639
1402,0.199399206,0.19042383,44.12346656,52.30930533,28.5464,34.5704,28164968549
1403,0.206548,0.192357115,93.55980839,76.49533887,26.2381,35.0591,1.84858E+11
1405,0.237708316,0.240067747,84.20386198,39.0972593,18.2115,35.495,16608996715
1406,0.259042866,0.237913792,90.96547447,30.8148419,14.0567,34.848,28346627345
1407,0.280793948,0.272015725,152.7583799,21.60704605,10.3613,34.4712,58012913409
1408,0.252075535,0.169718142,153.7606521,40.42706067,15.4385,34.7337,14811585371
1409,0.247560097,0.23565198,115.9965599,31.53983498,16.2245,35.1402,53649364160
1410,0.23651337,0.225039946,87.55494703,35.52141822,18.5141,35.3773,79046420378
1411,0.250946363,0.245834331,88.97642719,30.90846393,15.4357,35.4787,88526706374
1412,0.238286493,0.228677718,82.46575342,25.65281228,17.9423,35.9463,1.78401E+11
1413,0.219700588,0.216897888,82.05864954,43.31748593,22.5167,35.4569,64300290428
1414,0.202779969,0.159026343,66.87946039,75.39257129,27.3966,34.9182,1.66578E+11
1415,0.201339112,0.156191263,61.70903075,73.55548409,28.0506,34.2775,5.09971E+11
1416,0.201954461,0.141183782,39.06745612,168.0714889,28.0004,33.8767,1.57036E+11
